rep,var,wregime,das,depth,wexr,rld,RLD100
4,MOROB,WWATER,49,35,1.077646,1.302655,130.2655
4,MOROB,WWATER,49,45,1.224935,0.69377,69.377
4,MOROB,WWATER,49,55,1.096912,0.676455,67.6455
4,MOROB,WWATER,49,65,0.877181,2.07587,207.587
4,MOROB,WWATER,62,5,0.528062,0.238725,23.8725
4,MOROB,WWATER,62,15,0.601435,0.6163,61.63
4,MOROB,WWATER,62,25,0.510961,0.922065,92.2065
4,MOROB,WWATER,62,35,0.965749,0.73866,73.866
4,MOROB,WWATER,62,45,1.816708,0.94253,94.253
4,MOROB,WWATER,62,55,1.347624,1.400165,140.0165
4,MOROB,WWATER,62,65,1.729773,1.26956,126.956
4,MOROB,WWATER,69,5,0.065973,0.76443,76.443
4,MOROB,WWATER,69,15,0.012049,0.68566,68.566
4,MOROB,WWATER,69,25,0.190779,0.820605,82.0605
4,MOROB,WWATER,69,35,0.802926,0.6921,69.21
4,MOROB,WWATER,69,45,0.374928,0.659785,65.9785
4,MOROB,WWATER,69,55,0.852885,1.442575,144.2575
4,MOROB,WWATER,69,65,1.811889,1.24707,124.707
4,MOROB,WWATER,83,5,1.65766,0.656555,65.6555
4,MOROB,WWATER,83,15,1.722874,0.52562,52.562
4,MOROB,WWATER,83,25,2.048534,0.20825,20.825
4,MOROB,WWATER,83,35,1.694632,0.1772,17.72
4,MOROB,WWATER,83,45,2.562169,0.099595,9.9595
4,MOROB,WWATER,83,55,1.958974,0.528705,52.8705
4,MOROB,WWATER,83,65,1.912006,0.5223,52.23
4,MOROB,WWATER,90,5,1.422627,0.328835,32.8835
4,MOROB,WWATER,90,15,1.392331,0.35532,35.532
4,MOROB,WWATER,90,25,1.763606,0.275635,27.5635
4,MOROB,WWATER,90,35,1.700742,0.295345,29.5345
4,MOROB,WWATER,90,45,2.275643,0.106755,10.6755
4,MOROB,WWATER,90,55,1.731032,0.42532,42.532
4,MOROB,WWATER,90,65,1.571682,0.20554,20.554
5,MOROB,WWATER,14,5,0.095974,0.214465,21.4465
5,MOROB,WWATER,14,15,0.161657,0.227175,22.7175
5,MOROB,WWATER,14,25,0.125511,0.31236,31.236
5,MOROB,WWATER,14,35,0.07823,0.482115,48.2115
5,MOROB,WWATER,14,45,0.277913,0.149195,14.9195
5,MOROB,WWATER,14,55,0.163987,0.607285,60.7285
5,MOROB,WWATER,14,65,0.345183,0.40218,40.218
5,MOROB,WWATER,21,5,0.185836,0.12852,12.852
5,MOROB,WWATER,21,15,0.140167,0.21704,21.704
5,MOROB,WWATER,21,25,0.161671,0.31238,31.238
5,MOROB,WWATER,21,35,0.133802,0.591115,59.1115
5,MOROB,WWATER,21,45,0.127147,0.350555,35.0555
5,MOROB,WWATER,21,55,0.13296,0.735975,73.5975
5,MOROB,WWATER,21,65,0.165907,0.6963,69.63
