Obs,TRT,ENTNO,NAME,Rep,DTF,HT,GY,TDMY,HI,F10,Trial,Env
2903,S,e35,IR77298-5-6-25,2,80,107,3785,9035.57,41.89,,J,SJ
395,C,e45,IR81025-B-425-B,2,72,95.333,3787,8767.4,43.1941,,B,CB
914,C,e22,DSL-89-3,2,82,100,3788.28,9160.41,36.6651,,D,CD
842,S,e48,PSBRC68,2,89,92.167,3789.36,12724.98,26.402,,C,SC
1848,C,e33,IR77298-14-1-2-13,3,73,84,3791.2,8933.01,37.6276,,G,CG
2148,C,e33,IR77298-14-1-2-13,3,73,84,3791.2,8933.01,37.6276,,H,CH
2899,S,e34,IR77298-5-6-18,1,75,107.667,3791.53,11061.96,34.2754,,J,SJ
1604,S,e2,BINUHANGIN,2,80,113.333,3792.66,9653.7,34.8319,,F,SF
1222,C,e25,IR71525-19-1-1,1,71,97.333,3794.04,8348.12,40.2939,,E,CE
2425,C,e26,IR71700-247-1-1,1,73,106.667,3796.59,9491.65,39.9993,,I,CI
1108,S,e37,IR78905-105-1-2-2,1,63,97.667,3797.16,8415.22,40.0055,,D,SD
2845,S,e16,DK135,1,78,100.667,3798.24,9002.78,42.1896,,J,SJ
934,C,e29,IR75282-58-1-2-3,1,86,115,3798.72,10001.53,33.6742,,D,CD
918,C,e23,DSU-4-18,3,84,97.333,3801.84,9417.17,35.7932,,D,CD
871,C,e8,DGI-32,1,84,97.333,3802.93,9188,36.6964,,D,CD
839,S,e47,M4FNS-3076,2,86,64.4,3803.15,8351.2,40.3758,,C,SC
1139,S,e47,M4FNS-3076,2,79,88.333,3803.3,10745.2,31.3815,,D,SD
902,C,e18,DK142,2,79,105,3806.23,8025.46,42.0486,,D,CD
670,C,e41,IR78910-23-1-3-3,1,66,137.433,3806.57,7924.89,42.586,,C,CC
1118,S,e40,IR78908-193-B-3-B,2,74,126.333,3808.24,8455.18,39.9327,,D,SD
1709,S,e37,IR78905-105-1-2-2,2,70,123.667,3808.77,9440.44,35.77,,F,SF
1365,S,e22,DSL-89-3,3,81,71.833,3811.01,9136.7,36.9809,,E,SE
1042,S,e15,DK124,1,91,106.333,3811.74,9805.68,34.4645,,D,SD
2831,S,e11,DK108,2,78,100.333,3814.57,9770.59,39.0413,,J,SJ
1654,S,e19,DK157,1,75,94.833,3815.11,9905.14,34.1486,,F,SF
1362,S,e21,DSL-69-6,3,78,76.833,3816.27,7680.83,44.0512,,E,SE
880,C,e11,DK108,1,82,106,3818.88,8010.08,42.2694,,D,CD
977,C,e43,IR79906-B-192-2-1,2,84,137.333,3820.58,8791.46,38.5297,,D,CD
1067,S,e23,DSU-4-18,2,81,92.333,3821,8345.03,40.5954,,D,SD
2847,S,e16,DK135,3,78,94.333,3822.71,10712.47,35.6846,,J,SJ
903,C,e18,DK142,3,79,104.667,3823.04,10855.1,31.225,,D,CD
1553,C,e35,IR77298-5-6-25,2,75,166.667,3823.78,12229.29,27.7216,,F,CF
713,S,e5,D6-547-5S,2,82,75.8,3824.35,8623.99,39.3166,,C,SC
2651,C,e1,APO,2,87,130.333,3824.85,13316.37,28.7229,,J,CJ
2353,C,e2,BINUHANGIN,1,70,95.667,3827.66,7119.39,53.7638,,I,CI
368,C,e36,IR78877-163-B-1-1,2,74,103.333,3828.13,9880.2,38.7455,,B,CB
987,C,e46,KALIA,3,79,132.333,3829.92,9892.73,34.3242,,D,CD
118,C,e49,RR72-18-832,1,81,85.567,3830.42,8079.14,47.4112,,A,CA
1392,S,e31,IR77298-14-1-2,3,76,81.167,3833.13,8167.98,41.607,,E,SE
364,C,e35,IR77298-5-6-25,1,81,97,3833.67,10439.87,36.7214,,B,CB
1508,C,e20,DK167,2,89,129,3834.71,11242.31,30.2415,,F,CF
2793,C,e48,PSBRC68,3,83,129,3835.96,12560.89,30.5389,,J,CJ
2887,S,e30,IR75870-8-1-2-B-6-2-B-B-B,1,90,121,3836.32,9310.14,41.2058,,J,SJ
1071,S,e24,IR70215-70-CPA-3-4-1-3,3,81,109,3836.71,11187.41,30.4057,,D,SD
1607,S,e3,D6-446-6S,2,77,85,3836.93,10547.15,32.2534,,F,SF
1781,C,e11,DK108,2,73,87,3838.23,7885.77,43.1533,,G,CG
2081,C,e11,DK108,2,73,87,3838.23,7885.77,43.1533,,H,CH
331,C,e24,IR70215-70-CPA-3-4-1-3,1,68,93.333,3839.73,11403.2,33.6724,,B,CB
2426,C,e26,IR71700-247-1-1,2,70,104.333,3839.89,8497.17,45.1902,,I,CI
1475,C,e9,DGI-81,2,76,120.833,3840.52,9097.93,37.5788,,F,CF
805,S,e36,IR78877-163-B-1-1,1,73,106.233,3842.49,7740.08,44.0143,,C,SC
2930,S,e44,IR81024-B-275-3-B,2,71,131,3844.29,9231.21,41.6445,,J,SJ
901,C,e18,DK142,1,77,108.667,3844.35,8907.66,38.2636,,D,CD
588,C,e13,DK117,3,80,104.567,3844.82,7349.48,46.3817,,C,CC
1733,S,e45,IR81025-B-425-B,2,68,123,3847.31,10288.08,33.155,,F,SF
780,S,e27,IR74371-46-1-1,3,70,104.567,3849.22,7413.38,46.0345,,C,SC
1024,S,e9,DGI-81,1,81,107,3850.03,9456.03,36.0979,,D,SD
1599,C,e50,URI,3,80,138.667,3855.44,10860.63,31.4736,,F,CF
106,C,e44,IR81024-B-275-3-B,1,81,103.733,3856.01,7461.23,51.6806,,A,CA
